C_DEPT,MEDIANE_REVENU,ANNEE
29,21970.0,2019
2A,21900.0,2019
2B,20150.0,2019
30,20240.0,2019
31,23380.0,2019
32,20950.0,2019
33,22640.0,2019
34,20640.0,2019
35,22460.0,2019
36,20370.0,2019
37,22000.0,2019
38,23030.0,2019
39,21880.0,2019
40,21620.0,2019
41,21530.0,2019
42,20930.0,2019
43,21000.0,2019
44,22910.0,2019
45,22050.0,2019
46,20940.0,2019
47,20110.0,2019
48,20550.0,2019
49,21300.0,2019
50,21250.0,2019
51,21750.0,2019
52,20420.0,2019
53,21000.0,2019
54,21790.0,2019
55,20830.0,2019
56,21830.0,2019
57,21820.0,2019
58,20510.0,2019
59,20290.0,2019
60,22250.0,2019
61,20350.0,2019
62,19560.0,2019
63,22100.0,2019
64,22110.0,2019
65,20720.0,2019
66,19610.0,2019
67,22860.0,2019
68,23300.0,2019
69,23190.0,2019
70,20840.0,2019
71,21000.0,2019
72,21210.0,2019
73,23210.0,2019
74,26540.0,2019
75,28570.0,2019
76,21300.0,2019
77,23590.0,2019
78,26970.0,2019
79,21080.0,2019
80,20540.0,2019
81,20650.0,2019
82,20380.0,2019
83,21830.0,2019
84,20140.0,2019
85,21550.0,2019
86,21140.0,2019
87,21100.0,2019
88,20420.0,2019
89,20920.0,2019
90,22050.0,2019
91,24010.0,2019
92,28310.0,2019
93,18070.0,2019
94,23060.0,2019
95,22220.0,2019
972,18570.0,2019
974,15890.0,2019
971,15770.0,2019
973,10990.0,2019
976,3140.0,2019
03,21500.0,2021
30,21330.0,2021
24,21410.0,2021
29,23220.0,2021
13,22920.0,2021
19,22140.0,2021
12,21860.0,2021
2A,23420.0,2021
22,22670.0,2021
23,20620.0,2021
18,22100.0,2021
34,21800.0,2021
2B,21460.0,2021
02,20920.0,2021
10,21530.0,2021
01,24810.0,2021
17,22810.0,2021
27,22880.0,2021
25,23890.0,2021
06,23460.0,2021
28,23360.0,2021
15,21710.0,2021
16,22000.0,2021
32,22110.0,2021
04,21790.0,2021
31,24230.0,2021
35,23690.0,2021
05,22010.0,2021
21,23720.0,2021
33,23950.0,2021
14,22840.0,2021
09,20820.0,2021
11,20510.0,2021
26,22450.0,2021
07,21990.0,2021
08,20850.0,2021
94,24270.0,2021
78,28130.0,2021
45,23090.0,2021
974,17070.0,2021
43,22100.0,2021
64,23300.0,2021
79,22220.0,2021
88,21550.0,2021
54,23010.0,2021
59,21340.0,2021
42,21970.0,2021
51,22830.0,2021
74,28120.0,2021
69,24480.0,2021
57,22980.0,2021
38,24270.0,2021
44,24120.0,2021
83,23120.0,2021
76,22340.0,2021
48,21580.0,2021
47,21050.0,2021
73,24270.0,2021
70,21860.0,2021
37,23140.0,2021
65,21530.0,2021
39,23140.0,2021
91,25040.0,2021
72,22230.0,2021
58,21380.0,2021
84,21370.0,2021
49,22500.0,2021
87,22140.0,2021
61,21400.0,2021
85,22790.0,2021
68,24470.0,2021
75,29730.0,2021
80,21560.0,2021
50,22480.0,2021
52,21350.0,2021
86,22220.0,2021
81,21730.0,2021
46,21910.0,2021
92,29720.0,2021
41,22510.0,2021
63,23060.0,2021
95,23290.0,2021
53,22230.0,2021
93,19020.0,2021
66,20650.0,2021
90,22920.0,2021
62,20720.0,2021
972,19770.0,2021
77,24640.0,2021
71,22170.0,2021
89,21940.0,2021
56,23140.0,2021
55,21890.0,2021
40,22840.0,2021
60,23330.0,2021
36,21270.0,2021
67,24090.0,2021
82,21520.0,2021
