"C_REGION";"L_REGION";"C_DEPT";"N_DEPT";"RATIO_DMA";"Annee";"TONNAGE_ DMA";"VA_POPANNEE"
"27";"Bourgogne-Franche-Comté";"71";"Saône-et-Loire";"533,900000";"2011";"296846,51000";"555999"
"52";"Pays de la Loire";"72";"Sarthe";"474,820000";"2011";"268616,35000";"565718"
"84";"Auvergne-Rhône-Alpes";"73";"Savoie";"646,040000";"2011";"270658,41000";"418949"
"84";"Auvergne-Rhône-Alpes";"74";"Haute-Savoie";"601,690000";"2011";"449459,21000";"746994"
"11";"Ile-de-France";"75";"Paris";"484,090000";"2011";"1089201,02000";"2249975"
"28";"Normandie";"76";"Seine-Maritime";"583,310000";"2011";"729890,24000";"1251282"
"11";"Ile-de-France";"77";"Seine-et-Marne";"519,540000";"2011";"695372,99000";"1338427"
"11";"Ile-de-France";"78";"Yvelines";"454,940000";"2011";"643114,30000";"1413635"
"75";"Nouvelle-Aquitaine";"79";"Deux-Sèvres";"505,920000";"2011";"187666,32000";"370939"
"32";"Hauts-de-France";"80";"Somme";"574,580000";"2011";"328206,96000";"571211"
"76";"Occitanie";"81";"Tarn";"474,280000";"2011";"179124,34000";"377675"
"76";"Occitanie";"82";"Tarn-et-Garonne";"469,570000";"2011";"114831,46000";"244545"
"93";"Provence-Alpes-Côte d'Azur";"83";"Var";"725,890000";"2011";"735131,95000";"1012735"
"93";"Provence-Alpes-Côte d'Azur";"84";"Vaucluse";"615,800000";"2011";"336614,18000";"546630"
"52";"Pays de la Loire";"85";"Vendée";"586,860000";"2011";"376562,03000";"641657"
"75";"Nouvelle-Aquitaine";"86";"Vienne";"511,810000";"2011";"219282,99000";"428447"
"75";"Nouvelle-Aquitaine";"87";"Haute-Vienne";"483,920000";"2011";"181981,28000";"376058"
"44";"Grand Est";"88";"Vosges";"503,090000";"2011";"190586,49000";"378830"
"27";"Bourgogne-Franche-Comté";"89";"Yonne";"528,800000";"2011";"181093,60000";"342463"
"27";"Bourgogne-Franche-Comté";"90";"Territoire-de-Belfort";"513,340000";"2011";"73585,73000";"143348"
"11";"Ile-de-France";"91";"Essonne";"499,700000";"2011";"612227,71000";"1225191"
"11";"Ile-de-France";"92";"Hauts-de-seine";"398,040000";"2011";"629544,11000";"1581628"
"11";"Ile-de-France";"93";"Seine-Saint-Denis";"436,420000";"2011";"667686,61000";"1529928"
"11";"Ile-de-France";"94";"Val-de-Marne";"413,470000";"2011";"551443,33000";"1333702"
"11";"Ile-de-France";"95";"Val-d'Oise";"470,770000";"2011";"555681,83000";"1180365"
"97";"DROM-COM";"971";"Guadeloupe";"584,950000";"2011";"236693,12000";"404635"
"97";"DROM-COM";"972";"Martinique";"501,680000";"2011";"196805,08000";"392291"
"97";"DROM-COM";"973";"Guyane";"468,580000";"2011";"111309,67000";"237549"
"97";"DROM-COM";"974";"La Réunion";"628,010000";"2011";"520359,49000";"828581"
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"475,550000";"2013";"294600,14000";"619497"
"32";"Hauts-de-France";"02";"Aisne";"521,530000";"2013";"281659,72000";"540067"
"84";"Auvergne-Rhône-Alpes";"03";"Allier";"521,850000";"2013";"179219,15000";"343431"
"93";"Provence-Alpes-Côte d'Azur";"04";"Alpes-de-Haute-Provence";"604,770000";"2013";"97921,21000";"161916"
"93";"Provence-Alpes-Côte d'Azur";"05";"Hautes-Alpes";"642,010000";"2013";"89418,13000";"139279"
"93";"Provence-Alpes-Côte d'Azur";"06";"Alpes-Maritimes";"680,790000";"2013";"735783,20000";"1080771"
"84";"Auvergne-Rhône-Alpes";"07";"Ardèche";"493,060000";"2013";"157964,75000";"320379"
"44";"Grand Est";"08";"Ardennes";"492,820000";"2013";"138436,59000";"280907"
"76";"Occitanie";"09";"Ariège";"619,040000";"2013";"94516,80000";"152684"
"44";"Grand Est";"10";"Aube";"497,480000";"2013";"152516,51000";"306581"
"76";"Occitanie";"11";"Aude";"607,080000";"2013";"221509,56000";"364877"
"76";"Occitanie";"12";"Aveyron";"459,390000";"2013";"127592,22000";"277740"
"93";"Provence-Alpes-Côte d'Azur";"13";"Bouches-du-Rhône";"569,250000";"2013";"1134614,56000";"1993177"
"28";"Normandie";"14";"Calvados";"616,890000";"2013";"425623,13000";"689945"
"84";"Auvergne-Rhône-Alpes";"15";"Cantal";"486,880000";"2013";"71588,63000";"147035"
"75";"Nouvelle-Aquitaine";"16";"Charente";"507,120000";"2013";"179259,38000";"353482"
"75";"Nouvelle-Aquitaine";"17";"Charente-Maritime";"643,040000";"2013";"407311,28000";"633417"
"24";"Centre-Val de Loire";"18";"Cher";"485,710000";"2013";"151370,75000";"311650"
"75";"Nouvelle-Aquitaine";"19";"Corrèze";"466,140000";"2013";"112238,82000";"240781"
"27";"Bourgogne-Franche-Comté";"21";"Cote-d'Or";"502,030000";"2013";"265953,57000";"529761"
"53";"Bretagne";"22";"Cotes-d'Armor";"632,060000";"2013";"377395,74000";"597085"
"75";"Nouvelle-Aquitaine";"23";"Creuse";"470,670000";"2013";"56891,39000";"120872"
"75";"Nouvelle-Aquitaine";"24";"Dordogne";"504,790000";"2013";"210452,56000";"416909"
"27";"Bourgogne-Franche-Comté";"25";"Doubs";"483,230000";"2013";"257714,83000";"533320"
"84";"Auvergne-Rhône-Alpes";"26";"Drôme";"507,840000";"2013";"251234,95000";"494712"
"28";"Normandie";"27";"Eure";"605,860000";"2013";"360513,26000";"595043"
"24";"Centre-Val de Loire";"28";"Eure-et-Loir";"525,040000";"2013";"227325,51000";"432967"
"53";"Bretagne";"29";"Finistère";"681,960000";"2013";"616437,85000";"903921"
"94";"Corse";"2A";"Corse-du-Sud";"676,800000";"2013";"101000,93000";"149234"
"94";"Corse";"2B";"Haute-Corse";"681,960000";"2013";"116596,78000";"170974"
"76";"Occitanie";"30";"Gard";"521,480000";"2013";"382346,14000";"733201"
"76";"Occitanie";"31";"Haute-Garonne";"445,850000";"2013";"578968,67000";"1298562"
"76";"Occitanie";"32";"Gers";"483,090000";"2013";"91920,28000";"190276"
"75";"Nouvelle-Aquitaine";"33";"Gironde";"542,430000";"2013";"816637,39000";"1505517"
"76";"Occitanie";"34";"Hérault";"608,920000";"2013";"665140,58000";"1092331"
"53";"Bretagne";"35";"Ille-et-Vilaine";"464,570000";"2013";"473823,04000";"1019923"
"24";"Centre-Val de Loire";"36";"Indre";"513,420000";"2013";"117107,27000";"228091"
"24";"Centre-Val de Loire";"37";"Indre-et-Loire";"473,180000";"2013";"284027,36000";"600252"
"84";"Auvergne-Rhône-Alpes";"38";"Isère";"512,430000";"2013";"633044,72000";"1235387"
"27";"Bourgogne-Franche-Comté";"39";"Jura";"483,910000";"2013";"126059,83000";"260502"
"75";"Nouvelle-Aquitaine";"40";"Landes";"754,990000";"2013";"299903,40000";"397226"
"24";"Centre-Val de Loire";"41";"Loir-et-Cher";"521,760000";"2013";"173223,88000";"332001"
"84";"Auvergne-Rhône-Alpes";"42";"Loire";"463,020000";"2013";"350372,96000";"756715"
"84";"Auvergne-Rhône-Alpes";"43";"Haute-Loire";"457,120000";"2013";"103401,38000";"226203"
"52";"Pays de la Loire";"44";"Loire-Atlantique";"504,090000";"2013";"669747,46000";"1328620"
"24";"Centre-Val de Loire";"45";"Loiret";"499,990000";"2013";"332784,38000";"665587"
"76";"Occitanie";"46";"Lot";"552,200000";"2013";"95949,16000";"173758"
"75";"Nouvelle-Aquitaine";"47";"Lot-et-Garonne";"525,370000";"2013";"175042,71000";"333180"
"76";"Occitanie";"48";"Lozère";"493,230000";"2013";"37785,06000";"76607"
"52";"Pays de la Loire";"49";"Maine-et-Loire";"445,400000";"2013";"356404,88000";"800191"
"28";"Normandie";"50";"Manche";"594,530000";"2013";"297216,16000";"499919"
"44";"Grand Est";"51";"Marne";"480,500000";"2013";"273883,34000";"569999"
"44";"Grand Est";"52";"Haute-Marne";"483,160000";"2013";"87704,52000";"181521"
"52";"Pays de la Loire";"53";"Mayenne";"471,780000";"2013";"145073,35000";"307500"
"44";"Grand Est";"54";"Meurthe-et-Moselle";"477,390000";"2013";"348973,42000";"731004"
"44";"Grand Est";"55";"Meuse";"455,050000";"2013";"87412,37000";"192094"
"53";"Bretagne";"56";"Morbihan";"566,860000";"2013";"418214,70000";"737778"
"44";"Grand Est";"57";"Moselle";"513,400000";"2013";"537464,75000";"1046873"
"27";"Bourgogne-Franche-Comté";"58";"Nièvre";"492,560000";"2013";"106008,94000";"215221"
"32";"Hauts-de-France";"59";"Nord";"526,070000";"2013";"1365437,95000";"2595536"
"32";"Hauts-de-France";"60";"Oise";"554,110000";"2013";"451819,59000";"815400"
"28";"Normandie";"61";"Orne";"561,680000";"2013";"162240,22000";"288848"
"32";"Hauts-de-France";"62";"Pas-de-Calais";"603,160000";"2013";"883750,91000";"1465205"
"84";"Auvergne-Rhône-Alpes";"63";"Puy-de-Dôme";"483,430000";"2013";"309880,55000";"640999"
"75";"Nouvelle-Aquitaine";"64";"Pyrénées-Atlantiques";"536,230000";"2013";"356086,96000";"664057"
"76";"Occitanie";"65";"Hautes-Pyrénées";"527,500000";"2013";"120727,15000";"228868"
"76";"Occitanie";"66";"Pyrénées-Orientales";"644,220000";"2013";"298081,90000";"462705"
"44";"Grand Est";"67";"Bas-Rhin";"455,330000";"2013";"505165,16000";"1109460"
"44";"Grand Est";"68";"Haut-Rhin";"513,880000";"2013";"389892,20000";"758723"
"84";"Auvergne-Rhône-Alpes";"69";"Rhône";"388,730000";"2013";"691879,95000";"1779845"
"27";"Bourgogne-Franche-Comté";"70";"Haute-Saône";"458,700000";"2013";"109609,51000";"238956"
"27";"Bourgogne-Franche-Comté";"71";"Saône-et-Loire";"510,490000";"2013";"283947,71000";"556222"
